xi,yi,Xr,Yr
36,63,35.56,30.48
46,64,35.56,20.32
59,65,35.56,10.16
74,66,35.56,0.0
89,66,35.56,-10.16
102,65,35.56,-20.319999999999997
112,64,35.56,-30.48
28,65,25.400000000000002,30.48
39,67,25.400000000000002,20.32
53,69,25.400000000000002,10.16
74,70,25.400000000000002,0.0
95,70,25.400000000000002,-10.16
110,68,25.400000000000002,-20.319999999999997
120,67,25.400000000000002,-30.48
18,68,15.240000000000002,30.48
26,72,15.240000000000002,20.32
42,77,15.240000000000002,10.16
74,80,15.240000000000002,0.0
106,77,15.240000000000002,-10.16
122,73,15.240000000000002,-20.319999999999997
130,70,15.240000000000002,-30.48
7,72,5.080000000000002,30.48
10,78,5.080000000000002,20.32
21,91,5.080000000000002,10.16
74,112,5.080000000000002,0.0
126,94,5.080000000000002,-10.16
138,80,5.080000000000002,-20.319999999999997
142,73,5.080000000000002,-30.48
39,119,2.54,3.175
109,119,2.54,-3.175
